termin,pojazd,kto,lotnisko_z,lotnisko_do,latitude_deg_z,longitude_deg_z,iso_country_z,city_z,latitude_deg_do,longitude_deg_do,iso_country_do,city_do
12.2014,EMB,EK,EPWA,EBBR,52.1656990051,20.967100143399996,PL,Warsaw,50.901401519800004,4.48443984985,BE,Brussels
12.2014,EMB,EK,EBBR,EPWA,50.901401519800004,4.48443984985,BE,Brussels,52.1656990051,20.967100143399996,PL,Warsaw
01.2015,EMB,EK,EPWA,LFPG,52.1656990051,20.967100143399996,PL,Warsaw,49.012798,2.55,FR,Paris
01.2015,EMB,EK,LFPG,EPWA,49.012798,2.55,FR,Paris,52.1656990051,20.967100143399996,PL,Warsaw
01.2015,EMB,EK,EPWA,EPKT,52.1656990051,20.967100143399996,PL,Warsaw,50.4743,19.08,PL,Katowice
01.2015,EMB,EK,EPKT,EPWA,50.4743,19.08,PL,Katowice,52.1656990051,20.967100143399996,PL,Warsaw
01.2015,EMB,EK,EPKT,EPWA,50.4743,19.08,PL,Katowice,52.1656990051,20.967100143399996,PL,Warsaw
01.2015,EMB,EK,EPWA,UKBB,52.1656990051,20.967100143399996,PL,Warsaw,50.345001220703125,30.894699096679688,UA,Kiev
01.2015,EMB,EK,UKBB,EPWA,50.345001220703125,30.894699096679688,UA,Kiev,52.1656990051,20.967100143399996,PL,Warsaw
01.2015,EMB,EK,EPWA,LFPG,52.1656990051,20.967100143399996,PL,Warsaw,49.012798,2.55,FR,Paris
01.2015,EMB,EK,LFPG,EPWA,49.012798,2.55,FR,Paris,52.1656990051,20.967100143399996,PL,Warsaw
02.2015,EMB,EK,EPWA,EBBR,52.1656990051,20.967100143399996,PL,Warsaw,50.901401519800004,4.48443984985,BE,Brussels
02.2015,EMB,EK,EBBR,EPWA,50.901401519800004,4.48443984985,BE,Brussels,52.1656990051,20.967100143399996,PL,Warsaw
02.2015,EMB,EK,EPWA,LUZ,52.1656990051,20.967100143399996,PL,Warsaw,51.240278000000004,22.713611,PL,Lublin
02.2015,EMB,EK,LUZ,EPWA,51.240278000000004,22.713611,PL,Lublin,52.1656990051,20.967100143399996,PL,Warsaw
03.2015,EMB,EK,EPWA,EPPO,52.1656990051,20.967100143399996,PL,Warsaw,52.421001434299995,16.8262996674,PL,Poznań
03.2015,EMB,EK,EPPO,EPWA,52.421001434299995,16.8262996674,PL,Poznań,52.1656990051,20.967100143399996,PL,Warsaw
03.2015,EMB,EK,EPWA,EBBR,52.1656990051,20.967100143399996,PL,Warsaw,50.901401519800004,4.48443984985,BE,Brussels
03.2015,EMB,EK,EBBR,EPWA,50.901401519800004,4.48443984985,BE,Brussels,52.1656990051,20.967100143399996,PL,Warsaw
04.2015,Śmigłowiec W-3,EK,EPWA,EPGD,52.1656990051,20.967100143399996,PL,Warsaw,54.377601623535156,18.46619987487793,PL,Gdańsk
04.2015,EMB,EK,EPWA,LIPE,52.1656990051,20.967100143399996,PL,Warsaw,44.5354,11.2887,IT,Bologna
04.2015,EMB,EK,LIPE,LKPR,44.5354,11.2887,IT,Bologna,50.1008,14.26,CZ,Prague
04.2015,EMB,EK,LKPR,EPWA,50.1008,14.26,CZ,Prague,52.1656990051,20.967100143399996,PL,Warsaw
04.2015,EMB,EK,EPWA,EBBR,52.1656990051,20.967100143399996,PL,Warsaw,50.901401519800004,4.48443984985,BE,Brussels
04.2015,EMB,EK,EBBR,EPWA,50.901401519800004,4.48443984985,BE,Brussels,52.1656990051,20.967100143399996,PL,Warsaw
04.2015,EMB,EK,EPWA,EPKK,52.1656990051,20.967100143399996,PL,Warsaw,50.077702,19.7848,PL,Kraków
04.2015,EMB,EK,EPKK,EPWA,50.077702,19.7848,PL,Kraków,52.1656990051,20.967100143399996,PL,Warsaw
05.2015,EMB,EK,EPGD,EPWA,54.377601623535156,18.46619987487793,PL,Gdańsk,52.1656990051,20.967100143399996,PL,Warsaw
05.2015,EMB,EK,EPWA,EPGD,52.1656990051,20.967100143399996,PL,Warsaw,54.377601623535156,18.46619987487793,PL,Gdańsk
05.2015,EMB,EK,EPGD,EPWA,54.377601623535156,18.46619987487793,PL,Gdańsk,52.1656990051,20.967100143399996,PL,Warsaw
05.2015,Śmigłowiec W-3,EK,EPWR,EPWA,51.1026992798,16.885799408,PL,Wrocław,52.1656990051,20.967100143399996,PL,Warsaw
05.2015,EMB,EK,EPWA,EPWR,52.1656990051,20.967100143399996,PL,Warsaw,51.1026992798,16.885799408,PL,Wrocław
05.2015,EMB,EK,EPWR,EPWA,51.1026992798,16.885799408,PL,Wrocław,52.1656990051,20.967100143399996,PL,Warsaw
05.2015,EMB,EK,EPWA,EPKT,52.1656990051,20.967100143399996,PL,Warsaw,50.4743,19.08,PL,Katowice
05.2015,EMB,EK,EPKT,EVRA,50.4743,19.08,PL,Katowice,56.92359924316406,23.971099853515625,LV,Riga
05.2015,EMB,EK,EVRA,EPWA,56.92359924316406,23.971099853515625,LV,Riga,52.1656990051,20.967100143399996,PL,Warsaw
06.2015,EMB,EK,EPWA,EBBR,52.1656990051,20.967100143399996,PL,Warsaw,50.901401519800004,4.48443984985,BE,Brussels
06.2015,EMB,EK,EBBR,EPWA,50.901401519800004,4.48443984985,BE,Brussels,52.1656990051,20.967100143399996,PL,Warsaw
06.2015,EMB,EK,EPWA,LIRF,52.1656990051,20.967100143399996,PL,Warsaw,41.8002778,12.2388889,IT,Rome
06.2015,EMB,EK,LIRF,EPWA,41.8002778,12.2388889,IT,Rome,52.1656990051,20.967100143399996,PL,Warsaw
06.2015,EMB,EK,EPWA,LZIB,52.1656990051,20.967100143399996,PL,Warsaw,48.17020034790039,17.21269989013672,SK,Bratislava
